Bin start,Bin end,Number of unique MAC addresses
1677847024.6530874,1677847084.6530874,20
1677847084.6530874,1677847144.6530874,0
1677847091.1830096,1677847151.1830096,22
1677847151.1830096,1677847211.1830096,0
1677847154.8189244,1677847214.8189244,32
1677847214.8189244,1677847274.8189244,0
1677847217.091694,1677847277.091694,18
1677847277.091694,1677847337.091694,0
1677847280.5906193,1677847340.5906193,9
1677847340.5906193,1677847400.5906193,0
1677847343.5679421,1677847403.5679421,18
1677847403.5679421,1677847463.5679421,0
1677847404.0785692,1677847464.0785692,12
1677847464.0785692,1677847524.0785692,0
1677847466.3308213,1677847526.3308213,19
1677847526.3308213,1677847586.3308213,0
1677847530.0806143,1677847590.0806143,15
1677847590.0806143,1677847650.0806143,0
1677847590.168183,1677847650.168183,39
1677847650.168183,1677847710.168183,0
1677847656.0714803,1677847716.0714803,12
1677847716.0714803,1677847776.0714803,0
1677847720.323415,1677847780.323415,10
1677847780.323415,1677847840.323415,0
1677847782.545841,1677847842.545841,18
1677847842.545841,1677847902.545841,0
1677847842.935445,1677847902.935445,8
1677847902.935445,1677847962.935445,0
1677847904.66563,1677847964.66563,13
1677847964.66563,1677848024.66563,0
1677847966.242257,1677848026.242257,10
1677848026.242257,1677848086.242257,0
1677848028.21572,1677848088.21572,18
1677848088.21572,1677848148.21572,0
1677848092.5388722,1677848152.5388722,6
1677848152.5388722,1677848212.5388722,0
1677848155.2331872,1677848215.2331872,22
1677848215.2331872,1677848275.2331872,0
1677848215.7070312,1677848275.7070312,16
1677848275.7070312,1677848335.7070312,0
1677848277.767665,1677848337.767665,30
1677848337.767665,1677848397.767665,0
1677848344.202691,1677848404.202691,47
1677848404.202691,1677848464.202691,0
1677848407.190685,1677848467.190685,24
1677848467.190685,1677848527.190685,0
1677848468.535726,1677848528.535726,20
1677848528.535726,1677848588.535726,0
1677848530.10833,1677848590.10833,21
1677848590.10833,1677848650.10833,0
1677848596.2268403,1677848656.2268403,16
1677848656.2268403,1677848716.2268403,0
1677848656.907401,1677848716.907401,24
1677848716.907401,1677848776.907401,0
1677848717.3820212,1677848777.3820212,15
1677848777.3820212,1677848837.3820212,0
1677848780.4371583,1677848840.4371583,10
1677848840.4371583,1677848900.4371583,0
1677848852.5282152,1677848912.5282152,7
1677848912.5282152,1677848972.5282152,0
1677848915.240849,1677848975.240849,16
1677848975.240849,1677849035.240849,0
1677848984.0069962,1677849044.0069962,16
1677849044.0069962,1677849104.0069962,0
1677849047.8553832,1677849107.8553832,6
1677849107.8553832,1677849167.8553832,0
1677849108.295252,1677849168.295252,28
1677849168.295252,1677849228.295252,0
1677849170.690536,1677849230.690536,39
1677849230.690536,1677849290.690536,0
1677849231.643251,1677849291.643251,39
1677849291.643251,1677849351.643251,0
1677849294.1148193,1677849354.1148193,9
1677849354.1148193,1677849414.1148193,0
1677849358.748936,1677849418.748936,10
1677849418.748936,1677849478.748936,0
1677849419.5685272,1677849479.5685272,13
1677849479.5685272,1677849539.5685272,0
1677849485.7289891,1677849545.7289891,8
1677849545.7289891,1677849605.7289891,0
1677849546.0970812,1677849606.0970812,15
1677849606.0970812,1677849666.0970812,0
1677849607.9834192,1677849667.9834192,18
1677849667.9834192,1677849727.9834192,0
1677849668.5716302,1677849728.5716302,10
1677849728.5716302,1677849788.5716302,0
1677849738.3081102,1677849798.3081102,16
1677849798.3081102,1677849858.3081102,0
1677849809.723829,1677849869.723829,13
1677849869.723829,1677849929.723829,0
1677849870.9624672,1677849930.9624672,21
1677849930.9624672,1677849990.9624672,0
1677849932.168958,1677849992.168958,18
1677849992.168958,1677850052.168958,0
1677849994.2244623,1677850054.2244623,19
1677850054.2244623,1677850114.2244623,0
1677850058.1696682,1677850118.1696682,28
1677850118.1696682,1677850178.1696682,0
1677850121.5072331,1677850181.5072331,15
1677850181.5072331,1677850241.5072331,0
1677850183.3077672,1677850243.3077672,46
1677850243.3077672,1677850303.3077672,0
1677850245.0695,1677850305.0695,22
1677850305.0695,1677850365.0695,0
1677850310.344455,1677850370.344455,2
1677850370.344455,1677850430.344455,0
1677850386.135297,1677850446.135297,6
1677850446.135297,1677850506.135297,0
1677850452.3392131,1677850512.3392131,7
1677850512.3392131,1677850572.3392131,0
1677850520.202846,1677850580.202846,17
1677850580.202846,1677850640.202846,0
1677850581.135665,1677850641.135665,11
1677850641.135665,1677850701.135665,0
1677850643.93413,1677850703.93413,9
1677850703.93413,1677850763.93413,0
1677850704.331507,1677850764.331507,16
1677850764.331507,1677850824.331507,0
1677850767.41178,1677850827.41178,35
1677850827.41178,1677850887.41178,0
1677850830.30388,1677850890.30388,12
1677850890.30388,1677850950.30388,0
1677850895.30766,1677850955.30766,17
1677850955.30766,1677851015.30766,0
1677850956.3344252,1677851016.3344252,17
1677851016.3344252,1677851076.3344252,0
1677851016.399784,1677851076.399784,33
1677851076.399784,1677851136.399784,0
1677851078.7240872,1677851138.7240872,13
1677851138.7240872,1677851198.7240872,0
1677851140.376766,1677851200.376766,10
1677851200.376766,1677851260.376766,0
1677851204.7253242,1677851264.7253242,16
1677851264.7253242,1677851324.7253242,0
1677851268.125049,1677851328.125049,7
1677851328.125049,1677851388.125049,0
1677851334.3365011,1677851394.3365011,10
1677851394.3365011,1677851454.3365011,0
1677851397.180823,1677851457.180823,10
1677851457.180823,1677851517.180823,0
1677851460.3135192,1677851520.3135192,14
1677851520.3135192,1677851580.3135192,0
1677851520.7062922,1677851580.7062922,18
1677851580.7062922,1677851640.7062922,0
1677851581.5825412,1677851641.5825412,12
1677851641.5825412,1677851701.5825412,0
1677851646.137078,1677851706.137078,3
1677851706.137078,1677851766.137078,0
1677851707.7326322,1677851767.7326322,11
1677851767.7326322,1677851827.7326322,0
1677851772.136141,1677851832.136141,15
1677851832.136141,1677851892.136141,0
1677851833.4228523,1677851893.4228523,32
1677851893.4228523,1677851953.4228523,0
1677851894.728918,1677851954.728918,24
1677851954.728918,1677852014.728918,0
1677851956.1245892,1677852016.1245892,24
1677852016.1245892,1677852076.1245892,0
1677852018.481097,1677852078.481097,18
1677852078.481097,1677852138.481097,0
1677852082.3067904,1677852142.3067904,15
1677852142.3067904,1677852202.3067904,0
1677852142.7986252,1677852202.7986252,15
1677852202.7986252,1677852262.7986252,0
1677852205.288638,1677852265.288638,20
1677852265.288638,1677852325.288638,0
1677852267.991949,1677852327.991949,17
1677852327.991949,1677852387.991949,0
1677852348.0548282,1677852408.0548282,12
1677852408.0548282,1677852468.0548282,0
1677852410.209131,1677852470.209131,18
1677852470.209131,1677852530.209131,0
1677852470.5010421,1677852530.5010421,36
1677852530.5010421,1677852590.5010421,0
1677852532.9114451,1677852592.9114451,11
1677852592.9114451,1677852652.9114451,0
1677852609.877494,1677852669.877494,16
1677852669.877494,1677852729.877494,0
1677852670.2960122,1677852730.2960122,13
1677852730.2960122,1677852790.2960122,0
1677852730.7103612,1677852790.7103612,19
1677852790.7103612,1677852850.7103612,0
1677852804.2601411,1677852864.2601411,27
1677852864.2601411,1677852924.2601411,0
1677852864.7246783,1677852924.7246783,29
1677852924.7246783,1677852984.7246783,0
1677852926.6957312,1677852986.6957312,29
1677852986.6957312,1677853046.6957312,0
1677852990.19665,1677853050.19665,17
1677853050.19665,1677853110.19665,0
1677853051.781757,1677853111.781757,23
1677853111.781757,1677853171.781757,0
1677853111.8412862,1677853171.8412862,20
1677853171.8412862,1677853231.8412862,0
1677853173.489533,1677853233.489533,19
1677853233.489533,1677853293.489533,0
1677853233.7221472,1677853293.7221472,32
1677853293.7221472,1677853353.7221472,0
1677853298.0060692,1677853358.0060692,15
1677853358.0060692,1677853418.0060692,0
1677853359.6809874,1677853419.6809874,9
1677853419.6809874,1677853479.6809874,0
1677853429.7171862,1677853489.7171862,17
1677853489.7171862,1677853549.7171862,0
1677853492.1043842,1677853552.1043842,28
1677853552.1043842,1677853612.1043842,0
1677853553.039679,1677853613.039679,15
1677853613.039679,1677853673.039679,0
1677853614.3997383,1677853674.3997383,11
1677853674.3997383,1677853734.3997383,0
1677853678.3532112,1677853738.3532112,13
1677853738.3532112,1677853798.3532112,0
1677853741.598407,1677853801.598407,19
1677853801.598407,1677853861.598407,0
1677853804.31206,1677853864.31206,22
1677853864.31206,1677853924.31206,0
1677853867.987863,1677853927.987863,23
1677853927.987863,1677853987.987863,0
1677853928.37763,1677853988.37763,36
1677853988.37763,1677854048.37763,0
1677853992.0105581,1677854052.0105581,28
1677854052.0105581,1677854112.0105581,0
1677854054.7100952,1677854114.7100952,21
1677854114.7100952,1677854174.7100952,0
1677854115.5582612,1677854175.5582612,27
1677854175.5582612,1677854235.5582612,0
1677854177.168298,1677854237.168298,21
1677854237.168298,1677854297.168298,0
1677854237.623454,1677854297.623454,16
1677854297.623454,1677854357.623454,0
1677854307.664256,1677854367.664256,12
1677854367.664256,1677854427.664256,0
1677854385.8250582,1677854445.8250582,22
1677854445.8250582,1677854505.8250582,0
1677854450.069044,1677854510.069044,16
1677854510.069044,1677854570.069044,0
1677854513.7253823,1677854573.7253823,18
1677854573.7253823,1677854633.7253823,0
1677854573.798249,1677854633.798249,19
1677854633.798249,1677854693.798249,0
1677854636.246294,1677854696.246294,63
1677854696.246294,1677854756.246294,0
1677854697.823007,1677854757.823007,45
1677854757.823007,1677854817.823007,0
1677854763.0468512,1677854823.0468512,14
1677854823.0468512,1677854883.0468512,0
1677854824.568674,1677854884.568674,11
1677854884.568674,1677854944.568674,0
1677854886.337794,1677854946.337794,15
1677854946.337794,1677855006.337794,0
1677854946.380108,1677855006.380108,15
1677855006.380108,1677855066.380108,0
1677855006.43477,1677855066.43477,40
1677855066.43477,1677855126.43477,0
1677855072.375332,1677855132.375332,15
1677855132.375332,1677855192.375332,0
1677855135.2185023,1677855195.2185023,13
1677855195.2185023,1677855255.2185023,0
1677855196.004744,1677855256.004744,15
1677855256.004744,1677855316.004744,0
1677855258.194269,1677855318.194269,15
1677855318.194269,1677855378.194269,0
1677855320.5018492,1677855380.5018492,16
1677855380.5018492,1677855440.5018492,0
1677855382.473041,1677855442.473041,12
1677855442.473041,1677855502.473041,0
1677855470.59043,1677855530.59043,18
1677855530.59043,1677855590.59043,0
1677855534.3979263,1677855594.3979263,24
1677855594.3979263,1677855654.3979263,0
1677855595.1393611,1677855655.1393611,31
1677855655.1393611,1677855715.1393611,0
1677855658.4071672,1677855718.4071672,24
1677855718.4071672,1677855778.4071672,0
1677855720.218336,1677855780.218336,44
1677855780.218336,1677855840.218336,0
1677855781.186989,1677855841.186989,22
1677855841.186989,1677855901.186989,0
1677855841.211481,1677855901.211481,14
1677855901.211481,1677855961.211481,0
1677855903.339443,1677855963.339443,35
1677855963.339443,1677856023.339443,0
1677855963.8321812,1677856023.8321812,26
1677856023.8321812,1677856083.8321812,0
1677856026.807132,1677856086.807132,20
1677856086.807132,1677856146.807132,0
1677856089.7026832,1677856149.7026832,18
1677856149.7026832,1677856209.7026832,0
1677856153.177159,1677856213.177159,29
1677856213.177159,1677856273.177159,0
1677856220.061013,1677856280.061013,31
1677856280.061013,1677856340.061013,0
1677856281.2001622,1677856341.2001622,28
1677856341.2001622,1677856401.2001622,0
1677856342.459827,1677856402.459827,21
1677856402.459827,1677856462.459827,0
1677856405.405472,1677856465.405472,24
1677856465.405472,1677856525.405472,0
1677856470.179084,1677856530.179084,18
1677856530.179084,1677856590.179084,0
1677856535.748872,1677856595.748872,57
1677856595.748872,1677856655.748872,0
1677856595.871729,1677856655.871729,50
1677856655.871729,1677856715.871729,0
1677856658.821715,1677856718.821715,9
1677856718.821715,1677856778.821715,0
1677856739.4551792,1677856799.4551792,9
1677856799.4551792,1677856859.4551792,0
1677856803.8845792,1677856863.8845792,19
1677856863.8845792,1677856923.8845792,0
1677856880.885111,1677856940.885111,22
1677856940.885111,1677857000.885111,0
1677856945.8659673,1677857005.8659673,11
1677857005.8659673,1677857065.8659673,0
1677857010.764887,1677857070.764887,14
1677857070.764887,1677857130.764887,0
1677857070.8747253,1677857130.8747253,18
1677857130.8747253,1677857190.8747253,0
1677857132.881494,1677857192.881494,14
1677857192.881494,1677857252.881494,0
1677857194.807614,1677857254.807614,20
1677857254.807614,1677857314.807614,0
1677857256.195699,1677857316.195699,18
1677857316.195699,1677857376.195699,0
1677857316.2916381,1677857376.2916381,26
1677857376.2916381,1677857436.2916381,0
1677857378.1944232,1677857438.1944232,31
1677857438.1944232,1677857498.1944232,0
1677857441.1037362,1677857501.1037362,25
1677857501.1037362,1677857561.1037362,0
1677857501.835138,1677857561.835138,29
1677857561.835138,1677857621.835138,0
1677857565.90667,1677857625.90667,81
1677857625.90667,1677857685.90667,0
1677857625.953032,1677857685.953032,14
1677857685.953032,1677857745.953032,0
1677857690.718296,1677857750.718296,15
1677857750.718296,1677857810.718296,0
1677857752.355329,1677857812.355329,17
1677857812.355329,1677857872.355329,0
1677857817.1610782,1677857877.1610782,8
1677857877.1610782,1677857937.1610782,0
1677857884.4826472,1677857944.4826472,13
1677857944.4826472,1677858004.4826472,0
1677857946.278461,1677858006.278461,9
1677858006.278461,1677858066.278461,0
1677858012.4379323,1677858072.4379323,28
1677858072.4379323,1677858132.4379323,0
1677858074.022079,1677858134.022079,33
1677858134.022079,1677858194.022079,0
1677858140.62436,1677858200.62436,7
1677858200.62436,1677858260.62436,0
1677858206.2096431,1677858266.2096431,30
1677858266.2096431,1677858326.2096431,0
1677858266.5377712,1677858326.5377712,77
1677858326.5377712,1677858386.5377712,0
1677858327.89572,1677858387.89572,24
1677858387.89572,1677858447.89572,0
1677858390.0382462,1677858450.0382462,13
1677858450.0382462,1677858510.0382462,0
1677858451.4414632,1677858511.4414632,13
1677858511.4414632,1677858571.4414632,0
1677858513.7655623,1677858573.7655623,63
1677858573.7655623,1677858633.7655623,0
1677858575.523357,1677858635.523357,11
1677858635.523357,1677858695.523357,0
1677858642.431987,1677858702.431987,16
1677858702.431987,1677858762.431987,0
1677858702.5084412,1677858762.5084412,15
1677858762.5084412,1677858822.5084412,0
1677858763.8961523,1677858823.8961523,15
1677858823.8961523,1677858883.8961523,0
1677858827.5482392,1677858887.5482392,16
1677858887.5482392,1677858947.5482392,0
1677858897.6634352,1677858957.6634352,18
1677858957.6634352,1677859017.6634352,0
1677858960.3758883,1677859020.3758883,15
1677859020.3758883,1677859080.3758883,0
1677859020.491658,1677859080.491658,14
1677859080.491658,1677859140.491658,0
1677859081.699665,1677859141.699665,21
1677859141.699665,1677859201.699665,0
1677859142.1617222,1677859202.1617222,17
1677859202.1617222,1677859262.1617222,0
1677859206.254802,1677859266.254802,8
1677859266.254802,1677859326.254802,0
1677859269.7858162,1677859329.7858162,35
1677859329.7858162,1677859389.7858162,0
1677859330.168863,1677859390.168863,31
1677859390.168863,1677859450.168863,0
1677859392.5173862,1677859452.5173862,38
1677859452.5173862,1677859512.5173862,0
1677859452.9164932,1677859512.9164932,19
1677859512.9164932,1677859572.9164932,0
1677859516.4208012,1677859576.4208012,13
1677859576.4208012,1677859636.4208012,0
1677859584.5809302,1677859644.5809302,23
1677859644.5809302,1677859704.5809302,0
1677859644.7076461,1677859704.7076461,14
1677859704.7076461,1677859764.7076461,0
1677859708.3215861,1677859768.3215861,28
1677859768.3215861,1677859828.3215861,0
1677859768.408552,1677859828.408552,23
1677859828.408552,1677859888.408552,0
1677859831.9574983,1677859891.9574983,13
1677859891.9574983,1677859951.9574983,0
1677859894.607421,1677859954.607421,12
1677859954.607421,1677860014.607421,0
1677859958.8345182,1677860018.8345182,23
1677860018.8345182,1677860078.8345182,0
1677860019.4106722,1677860079.4106722,43
1677860079.4106722,1677860139.4106722,0
1677860079.5753732,1677860139.5753732,14
1677860139.5753732,1677860199.5753732,0
1677860140.964555,1677860200.964555,17
1677860200.964555,1677860260.964555,0
1677860213.592647,1677860273.592647,9
1677860273.592647,1677860333.592647,0
1677860274.0357823,1677860334.0357823,10
1677860334.0357823,1677860394.0357823,0
1677860344.4385052,1677860404.4385052,36
1677860404.4385052,1677860464.4385052,0
1677860406.5162513,1677860466.5162513,13
1677860466.5162513,1677860526.5162513,0
1677860483.5940292,1677860543.5940292,18
1677860543.5940292,1677860603.5940292,0
1677860547.726711,1677860607.726711,24
1677860607.726711,1677860667.726711,0
1677860608.403569,1677860668.403569,15
1677860668.403569,1677860728.403569,0
1677860676.179907,1677860736.179907,5
1677860736.179907,1677860796.179907,0
1677860737.5330992,1677860797.5330992,6
1677860797.5330992,1677860857.5330992,0
1677860805.69766,1677860865.69766,24
1677860865.69766,1677860925.69766,0
1677860866.1560242,1677860926.1560242,17
1677860926.1560242,1677860986.1560242,0
1677860928.284455,1677860988.284455,28
1677860988.284455,1677861048.284455,0
1677860989.624095,1677861049.624095,25
1677861049.624095,1677861109.624095,0
1677861054.3081372,1677861114.3081372,31
1677861114.3081372,1677861174.3081372,0
1677861116.5134993,1677861176.5134993,43
1677861176.5134993,1677861236.5134993,0
1677861176.7509902,1677861236.7509902,20
1677861236.7509902,1677861296.7509902,0
1677861238.413405,1677861298.413405,21
1677861298.413405,1677861358.413405,0
1677861298.506738,1677861358.506738,19
1677861358.506738,1677861418.506738,0
1677861360.0049791,1677861420.0049791,16
1677861420.0049791,1677861480.0049791,0
1677861421.5957053,1677861481.5957053,44
1677861481.5957053,1677861541.5957053,0
1677861482.358164,1677861542.358164,10
1677861542.358164,1677861602.358164,0
1677861543.4286602,1677861603.4286602,37
1677861603.4286602,1677861663.4286602,0
1677861612.8939002,1677861672.8939002,13
1677861672.8939002,1677861732.8939002,0
1677861683.291464,1677861743.291464,17
1677861743.291464,1677861803.291464,0
1677861753.6789331,1677861813.6789331,20
1677861813.6789331,1677861873.6789331,0
1677861815.473078,1677861875.473078,34
1677861875.473078,1677861935.473078,0
1677861875.753959,1677861935.753959,20
1677861935.753959,1677861995.753959,0
1677861937.147329,1677861997.147329,30
1677861997.147329,1677862057.147329,0
1677862002.5491233,1677862062.5491233,24
1677862062.5491233,1677862122.5491233,0
1677862063.1974351,1677862123.1974351,14
1677862123.1974351,1677862183.1974351,0
1677862128.531089,1677862188.531089,10
1677862188.531089,1677862248.531089,0
1677862196.377259,1677862256.377259,17
1677862256.377259,1677862316.377259,0
1677862266.305629,1677862326.305629,13
1677862326.305629,1677862386.305629,0
1677862326.832927,1677862386.832927,34
1677862386.832927,1677862446.832927,0
1677862387.810848,1677862447.810848,18
1677862447.810848,1677862507.810848,0
1677862448.375147,1677862508.375147,6
1677862508.375147,1677862568.375147,0
1677862509.774311,1677862569.774311,5
1677862569.774311,1677862629.774311,0
1677862574.5070763,1677862634.5070763,21
1677862634.5070763,1677862694.5070763,0
1677862636.0543272,1677862696.0543272,15
1677862696.0543272,1677862756.0543272,0
1677862698.3638563,1677862758.3638563,15
1677862758.3638563,1677862818.3638563,0
1677862758.5459023,1677862818.5459023,23
1677862818.5459023,1677862878.5459023,0
1677862820.587827,1677862880.587827,16
1677862880.587827,1677862940.587827,0
1677862883.517533,1677862943.517533,40
1677862943.517533,1677863003.517533,0
1677862943.6214542,1677863003.6214542,32
1677863003.6214542,1677863063.6214542,0
1677863005.8169212,1677863065.8169212,21
1677863065.8169212,1677863125.8169212,0
1677863065.979646,1677863125.979646,30
1677863125.979646,1677863185.979646,0
1677863126.4538991,1677863186.4538991,32
1677863186.4538991,1677863246.4538991,0
1677863191.801835,1677863251.801835,17
1677863251.801835,1677863311.801835,0
1677863254.44629,1677863314.44629,13
1677863314.44629,1677863374.44629,0
1677863315.486529,1677863375.486529,21
1677863375.486529,1677863435.486529,0
1677863378.1526673,1677863438.1526673,15
1677863438.1526673,1677863498.1526673,0
1677863442.172032,1677863502.172032,26
1677863502.172032,1677863562.172032,0
1677863504.4472673,1677863564.4472673,15
1677863564.4472673,1677863624.4472673,0
1677863564.476375,1677863624.476375,21
1677863624.476375,1677863684.476375,0
1677863626.826379,1677863686.826379,26
1677863686.826379,1677863746.826379,0
1677863689.6141982,1677863749.6141982,19
1677863749.6141982,1677863809.6141982,0
1677863750.2481542,1677863810.2481542,24
1677863810.2481542,1677863870.2481542,0
1677863815.68107,1677863875.68107,10
1677863875.68107,1677863935.68107,0
1677863875.89796,1677863935.89796,6
1677863935.89796,1677863995.89796,0
1677863936.8909392,1677863996.8909392,10
1677863996.8909392,1677864056.8909392,0
1677864002.398087,1677864062.398087,8
1677864062.398087,1677864122.398087,0
1677864062.7951312,1677864122.7951312,20
1677864122.7951312,1677864182.7951312,0
1677864123.5101912,1677864183.5101912,46
1677864183.5101912,1677864243.5101912,0
1677864183.6127,1677864243.6127,18
1677864243.6127,1677864303.6127,0
1677864246.338248,1677864306.338248,14
1677864306.338248,1677864366.338248,0
1677864312.903556,1677864372.903556,11
1677864372.903556,1677864432.903556,0
1677864373.2864053,1677864433.2864053,22
1677864433.2864053,1677864493.2864053,0
1677864437.982655,1677864497.982655,14
1677864497.982655,1677864557.982655,0
1677864498.3444223,1677864558.3444223,13
1677864558.3444223,1677864618.3444223,0
1677864558.8666162,1677864618.8666162,12
1677864618.8666162,1677864678.8666162,0
1677864623.2831943,1677864683.2831943,16
1677864683.2831943,1677864743.2831943,0
1677864690.559133,1677864750.559133,7
1677864750.559133,1677864810.559133,0
1677864755.9228082,1677864815.9228082,21
1677864815.9228082,1677864875.9228082,0
1677864816.5325172,1677864876.5325172,10
1677864876.5325172,1677864936.5325172,0
1677864877.472532,1677864937.472532,23
1677864937.472532,1677864997.472532,0
1677864938.442183,1677864998.442183,36
1677864998.442183,1677865058.442183,0
1677865002.3748753,1677865062.3748753,8
1677865062.3748753,1677865122.3748753,0
1677865063.8796742,1677865123.8796742,14
1677865123.8796742,1677865183.8796742,0
1677865132.2421,1677865192.2421,8
1677865192.2421,1677865252.2421,0
1677865199.5444102,1677865259.5444102,17
1677865259.5444102,1677865319.5444102,0
1677865261.981244,1677865321.981244,14
1677865321.981244,1677865381.981244,0
1677865322.551393,1677865382.551393,29
1677865382.551393,1677865442.551393,0
1677865383.942056,1677865443.942056,16
1677865443.942056,1677865503.942056,0
1677865444.8663902,1677865504.8663902,21
1677865504.8663902,1677865564.8663902,0
1677865506.380999,1677865566.380999,17
1677865566.380999,1677865626.380999,0
1677865569.070897,1677865629.070897,15
1677865629.070897,1677865689.070897,0
1677865632.381556,1677865692.381556,8
1677865692.381556,1677865752.381556,0
1677865694.1674483,1677865754.1674483,27
1677865754.1674483,1677865814.1674483,0
1677865755.0725152,1677865815.0725152,34
